pheno	h2(add)	h2(add)_se	h2(dom)	h2(dom)_se	h2(AD)	h2(AD)_se	h2(add)_sig	h2(dom)_sig	h2(AD)_sig	h2(het)	h2(het)_se	h2(hom)	h2(hom)_se	Cov(hh)	Cov(hh)_se	hom/het	hom/het_se	h2(FACTOR)	h2(FACTOR)_se	h2(het)_sig	h2(hom)_sig	h2(FACTOR)_sig	Cov(hh)_sig	hom/het_sig
Trunk_predicted_mass	0.26112084789868967	0.010232500746025964	-0.0015248955826059805	0.01235363972002211	0.2595959523160837	0.0133346013532924	True	False	True	0.09738229113966074	0.011986490801322296	0.22521801778637723	0.015584605280465817	0.3156375427173274	0.044391598243796765	2.3127204664283467	0.36618917201348183	0.32260030892603797	0.016553030123034246	True	True	True	True	True
Arm_fat-free_mass__right_	0.21900860399313585	0.010148110753978177	-0.021392050830871624	0.01229963647868328	0.19761655316226423	0.01382907623694106	True	False	True	0.07666849976347959	0.012010915352089873	0.19284671310917065	0.015893539601370202	0.417592982456216	0.06175959740322458	2.515331768641593	0.48918111704000794	0.26951521287265023	0.017347785851204306	True	True	True	True	True
Arm_predicted_mass__left_	0.2236076449189258	0.010520006760720362	-0.05671395642370077	0.012368676173808508	0.166893688495225	0.014298955954623011	True	True	True	0.07925780597622778	0.012494229408088765	0.1807220951253988	0.016696501040664023	0.41682509568090137	0.06429751999493008	2.2801803923212782	0.45909700242487284	0.2599799011016266	0.018232524576902855	True	True	True	True	True
High_light_scatter_reticulocyte_count	0.16369069267385866	0.010477942493572274	0.02882107204881771	0.012433732645337517	0.19251176472267637	0.014443242206308578	True	True	True	0.08546447011952855	0.013409961894179164	0.11907273176773794	0.01922040467975097	0.5312822153856455	0.09073112024101776	1.3932424971594124	0.3451229222475446	0.20453720188726648	0.02098823142762355	True	True	True	True	True
Hand_grip_strength__left_	0.12318623661125623	0.01047234128284598	-0.08355980074631858	0.012487430710372803	0.03962643586493765	0.01563197504735939	True	True	True	0.0437259794154454	0.012052182733659043	0.1251106895880588	0.016393842989861025	-0.7133870061906202	0.1247960931542447	2.8612438477219277	0.9242016624769694	0.1688366690035042	0.018782664743862497	True	True	True	True	False
Monocyte_percentage	0.18985787298322696	0.010756102216142331	-0.09984449348512751	0.0117635212217689	0.09001337949809944	0.014848336391582053	True	True	True	0.07339116013886704	0.01216168626365884	0.16753853345213235	0.016437296258407275	0.3010464699849422	0.059962315081605384	2.282816256550849	0.4815579453582337	0.2409296935909994	0.018081252096075383	True	True	True	True	True
Forced_expiratory_volume_in_1-second__FEV1_,_Best_measure	0.1870696989346051	0.013199566290749793	0.0073648049614211146	0.01503723119856632	0.1944345038960262	0.017713007306335526	True	False	True	0.08448477446380444	0.015674177979199774	0.16902292105451516	0.02151597937418781	0.31396778632021194	0.06943821948122357	2.0006317366323696	0.49892644999066826	0.2535076955183196	0.023311495668847604	True	True	True	True	True
Apolipoprotein_A	0.18891326673532505	0.012881715278193552	-0.12637823154281078	0.0127293057751536	0.06253503519251427	0.017321374696701728	True	True	True	0.06947189486495578	0.013582020848118699	0.15495164417917168	0.018490030099835138	-0.3476826954041772	0.05722766889304351	2.230422021457415	0.5572488280382726	0.22442353904412746	0.0204729995927128	True	True	True	True	True
Eosinophill_percentage	0.1588200702881343	0.011061809839493656	-0.06539796122487535	0.012702575297210654	0.09342210906325896	0.015699680007476208	True	True	True	0.06624962290268707	0.012000818844104363	0.15008043030808257	0.016416678011872122	0.18663801545728761	0.05807285468539832	2.265377880392363	0.5210798178245287	0.21633005321076965	0.01823991706636669	True	True	True	True	True
Urate	0.29723450995822837	0.010671319395606203	-0.05215965671358459	0.012760265774107493	0.2450748532446438	0.013666905099244876	True	True	True	0.10830323360302375	0.01143939563816642	0.26667379447514816	0.014542966774269911	0.33550861454294156	0.03962821770767252	2.4622883879221757	0.33107951017164927	0.3749770280781719	0.01510963475283297	True	True	True	True	True
